TransactionID,AccountID,TransactionAmount,TransactionType,Channel,DeviceType,LoginAttempts,AccountBalance,Fraud
100001,C103,20582.72,Debit,Online,Desktop,2,15570.27,0
100002,C180,114953.26,Credit,Online,Mobile,1,37362.68,0
100003,C093,46767.97,Debit,ATM,Desktop,1,20982.8,0
100004,C015,14009.06,Credit,Mobile,Mobile,2,69609.92,0
100005,C107,34482.44,Credit,Online,Desktop,3,94426.46,0
100006,C072,20049.89,Debit,Online,Mobile,4,99551.55,1
100007,C189,135672.1,Credit,Online,Desktop,1,45082.65,0
100008,C021,378.14,Debit,Online,Mobile,1,25327.79,0
100009,C103,12766.09,Debit,ATM,Desktop,3,44338.65,0
100010,C122,22734.62,Debit,ATM,Desktop,3,84742.21,0
100011,C075,33452.96,Debit,Mobile,Desktop,1,20679.97,0
100012,C088,95129.25,Debit,ATM,Desktop,3,95214.36,0
100013,C117,4599.6,Debit,Online,Desktop,4,34252.39,1
100014,C100,81960.05,Debit,Mobile,Mobile,1,98581.79,0
100015,C104,2863.11,Debit,ATM,Mobile,4,83877.03,1
100016,C152,92357.49,Debit,Online,Mobile,4,80876.2,1
100017,C131,2650.82,Credit,Online,Desktop,3,31858.68,0
100018,C150,920.55,Debit,Online,Desktop,4,976.84,1
100019,C053,59694.76,Debit,ATM,Mobile,3,38275.08,0
100020,C002,294908.45,Credit,ATM,Desktop,2,30250.76,1
100021,C088,113462.48,Debit,Online,Desktop,3,3835.96,0
100022,C158,42900.9,Debit,Mobile,Desktop,4,50585.99,1
100023,C038,124684.62,Debit,Online,Mobile,2,40362.83,0
100024,C130,265.71,Debit,Online,Mobile,3,63492.19,0
100025,C192,184578.48,Credit,ATM,Mobile,4,62156.51,1
100026,C188,33740.69,Debit,Online,Desktop,1,12162.59,0
100027,C021,64168.14,Credit,ATM,Mobile,1,97698.86,0
100028,C161,85979.79,Debit,Mobile,Mobile,3,18774.45,0
100029,C058,63373.55,Debit,Mobile,Desktop,3,44582.88,0
100030,C022,38289.84,Debit,Online,Desktop,1,48862.94,0
100031,C089,32372.33,Debit,Mobile,Desktop,4,81324.97,1
100032,C049,91188.07,Debit,ATM,Mobile,4,10013.04,1
100033,C059,11475.54,Credit,Online,Mobile,4,42921.56,1
100034,C170,172091.7,Credit,ATM,Desktop,3,62887.37,1
100035,C188,62058.21,Debit,Mobile,Mobile,2,21594.05,0
100036,C015,11126.37,Credit,ATM,Mobile,2,62784.04,0
100037,C190,66637.15,Credit,Online,Mobile,2,92374.12,0
100038,C190,37734.11,Debit,Mobile,Mobile,2,99752.06,0
100039,C175,61418.41,Debit,ATM,Mobile,2,3341.86,0
100040,C190,73003.4,Debit,ATM,Mobile,3,23635.26,0
100041,C051,4566.86,Debit,Online,Mobile,3,31099.68,0
100042,C108,35271.51,Debit,Online,Mobile,2,39972.7,0
100043,C055,134422.93,Debit,ATM,Desktop,3,24301.49,0
100044,C064,19330.37,Credit,ATM,Mobile,3,20428.45,0
100045,C131,45055.71,Debit,ATM,Desktop,2,95459.93,0
100046,C051,23040.74,Debit,Mobile,Mobile,4,91860.31,1
100047,C135,30281.36,Credit,Online,Mobile,3,4794.55,0
100048,C021,39770.42,Credit,ATM,Desktop,4,33947.42,1
100049,C073,39805.75,Debit,ATM,Mobile,3,40574.34,0
100050,C167,11265.45,Credit,ATM,Mobile,3,23977.55,0
100051,C018,57691.17,Debit,ATM,Mobile,2,62924.4,0
100052,C132,4598.53,Debit,Online,Desktop,3,64074.04,0
100053,C089,7472.86,Debit,ATM,Mobile,1,85065.37,0
100054,C060,135.73,Debit,ATM,Mobile,1,74112.84,0
100055,C014,6204.3,Debit,Online,Desktop,2,54303.08,0
100056,C009,32043.51,Debit,ATM,Mobile,4,65393.32,1
100057,C090,46583.15,Debit,Online,Mobile,4,27471.48,1
100058,C053,79064.26,Debit,Online,Mobile,4,59346.31,1
100059,C130,5641.6,Debit,Online,Desktop,1,48973.8,0
100060,C084,95099.08,Credit,Online,Mobile,4,13421.11,1
100061,C092,68516.04,Debit,Online,Mobile,4,24330.17,1
100062,C111,26256.23,Debit,Mobile,Mobile,2,29240.18,0
100063,C188,135106.94,Debit,Online,Desktop,4,92438.53,1
100064,C199,235136.26,Debit,Online,Mobile,1,23115.63,1
100065,C172,11470.77,Debit,Mobile,Desktop,1,28995.47,0
100066,C008,23839.62,Credit,Online,Mobile,1,36998.48,0
100067,C175,130489.1,Debit,ATM,Desktop,2,66407.9,0
100068,C035,63934.2,Debit,ATM,Desktop,2,11912.02,0
100069,C081,2464.48,Debit,ATM,Mobile,3,95399.13,0
100070,C164,76051.78,Debit,Mobile,Mobile,4,86570.56,1
100071,C050,87995.86,Debit,Online,Mobile,2,57763.89,0
100072,C104,69415.2,Debit,Mobile,Mobile,1,67436.38,0
100073,C132,80356.31,Debit,Online,Desktop,1,1764.38,0
100074,C002,87186.39,Debit,Online,Mobile,2,33960.58,0
100075,C134,10314.63,Debit,ATM,Mobile,2,79586.46,0
100076,C054,13439.2,Debit,Online,Mobile,2,7840.55,0
100077,C106,50223.13,Credit,Online,Desktop,3,28303.15,0
100078,C004,119225.63,Credit,Mobile,Mobile,1,58571.15,0
100079,C054,19004.24,Credit,ATM,Mobile,3,25715.66,0
100080,C191,44373.83,Debit,Online,Mobile,3,93404.4,0
100081,C146,57439.85,Debit,Online,Desktop,4,13192.76,1
100082,C044,30069.31,Debit,Online,Desktop,1,79759.7,0
100083,C162,62550.16,Debit,Online,Mobile,1,50844.07,0
100084,C190,114963.25,Debit,Online,Mobile,2,75058.04,0
100085,C014,48921.81,Debit,ATM,Mobile,2,31140.46,0
100086,C095,38802.65,Debit,Online,Mobile,4,51497.51,1
100087,C048,28878.97,Credit,Online,Desktop,3,85697.85,0
100088,C015,43076.67,Debit,Mobile,Desktop,2,46741.12,0
100089,C190,21953.35,Debit,Mobile,Mobile,2,36036.01,0
100090,C040,24836.45,Debit,ATM,Desktop,1,53661.92,0
100091,C082,37949.12,Credit,ATM,Mobile,1,71764.54,0
100092,C111,3447.1,Debit,Mobile,Desktop,2,44411.98,0
100093,C053,13004.99,Debit,Online,Desktop,1,93893.81,0
100094,C024,39137.11,Debit,Mobile,Mobile,4,29565.09,1
100095,C154,28240.17,Debit,ATM,Desktop,2,47598.81,0
100096,C188,20234.45,Debit,Online,Mobile,1,75717.07,0
100097,C124,65568.46,Credit,Mobile,Mobile,4,68943.2,1
100098,C041,59162.39,Debit,Mobile,Mobile,1,86377.74,0
100099,C157,9119.92,Debit,ATM,Mobile,1,99681.24,0
100100,C015,105445.21,Debit,Online,Desktop,1,42743.15,0
100101,C045,34201.8,Debit,Online,Desktop,2,11203.97,0
100102,C065,67635.42,Debit,ATM,Desktop,3,3138.55,0
100103,C089,42566.23,Debit,Online,Desktop,1,72715.0,0
100104,C071,303582.04,Debit,Online,Desktop,4,87413.97,1
100105,C009,69797.67,Debit,Mobile,Mobile,2,22149.19,0
100106,C088,61375.8,Debit,Online,Mobile,2,15928.96,0
100107,C129,75382.88,Debit,ATM,Mobile,4,6314.29,1
100108,C136,7723.34,Debit,ATM,Desktop,1,82288.02,0
100109,C063,11442.02,Credit,Online,Desktop,3,31207.06,0
100110,C139,62599.38,Debit,ATM,Mobile,1,40229.52,0
100111,C081,34059.1,Debit,Online,Desktop,4,50324.74,1
100112,C136,70250.48,Credit,ATM,Desktop,2,83961.38,0
100113,C163,5430.29,Debit,Mobile,Mobile,3,65118.24,0
100114,C163,38445.43,Credit,Mobile,Mobile,2,61544.96,0
100115,C033,23806.85,Debit,Online,Mobile,4,17649.64,1
100116,C123,30532.32,Credit,Mobile,Mobile,1,51367.67,0
100117,C005,46311.73,Debit,Online,Mobile,3,71566.56,0
100118,C041,34886.72,Debit,Online,Mobile,2,97328.76,0
100119,C028,38811.29,Debit,ATM,Mobile,2,20220.49,0
100120,C135,33311.39,Credit,Online,Mobile,2,1053.38,0
100121,C072,26293.17,Credit,Online,Desktop,1,7622.61,0
100122,C012,73894.61,Debit,Mobile,Mobile,3,37647.66,0
100123,C162,613.91,Debit,Online,Desktop,1,82072.41,0
100124,C033,45620.25,Credit,Mobile,Mobile,1,813.49,0
100125,C048,41678.93,Debit,Online,Mobile,1,45727.39,0
100126,C151,62970.59,Credit,ATM,Desktop,4,32990.14,1
100127,C062,45693.35,Credit,Mobile,Mobile,4,5342.92,1
100128,C037,87665.08,Debit,Online,Mobile,4,45078.61,1
100129,C099,159800.46,Debit,ATM,Desktop,3,25549.4,1
100130,C172,20967.37,Debit,Online,Mobile,1,35253.29,0
100131,C104,12896.52,Debit,ATM,Mobile,1,70590.97,0
100132,C035,27547.4,Credit,Online,Mobile,4,52202.94,1
100133,C193,16978.93,Debit,Online,Mobile,1,12552.28,0
100134,C101,47719.14,Credit,Online,Mobile,1,96145.31,0
100135,C175,121437.13,Debit,Mobile,Mobile,2,63627.49,0
100136,C131,7489.79,Credit,Online,Desktop,1,76610.26,0
100137,C001,5312.19,Debit,ATM,Desktop,2,8013.39,0
100138,C005,14786.76,Debit,Online,Desktop,1,4801.13,0
100139,C142,64748.8,Debit,Mobile,Desktop,3,2042.86,0
100140,C103,44942.55,Credit,ATM,Desktop,4,18960.52,1
100141,C027,5391.1,Debit,ATM,Mobile,2,41499.4,0
100142,C137,125511.54,Credit,ATM,Desktop,4,93589.03,1
100143,C015,78052.54,Debit,ATM,Desktop,2,45760.26,0
100144,C090,1164.59,Debit,Mobile,Desktop,2,29096.49,0
100145,C042,52686.8,Debit,Online,Mobile,2,56237.33,0
100146,C124,73755.55,Debit,ATM,Mobile,3,11282.26,0
100147,C179,23455.03,Debit,Online,Mobile,1,60989.64,0
100148,C063,3570.59,Credit,ATM,Desktop,2,56886.35,0
100149,C096,4023.7,Credit,Mobile,Mobile,3,79220.1,0
100150,C052,5504.53,Credit,Mobile,Desktop,2,98670.09,0
100151,C096,91766.65,Credit,ATM,Mobile,1,25162.26,0
100152,C132,120779.96,Debit,Mobile,Mobile,2,51014.68,0
100153,C151,6551.63,Debit,Online,Mobile,3,90895.65,0
100154,C143,13453.23,Debit,ATM,Mobile,1,78540.47,0
100155,C171,9047.36,Credit,ATM,Mobile,3,48791.89,0
100156,C029,10309.46,Debit,Online,Mobile,1,94542.63,0
100157,C036,90851.03,Debit,Online,Desktop,1,5817.95,0
100158,C013,20184.32,Debit,Mobile,Mobile,4,93106.76,1
100159,C160,18657.95,Debit,Online,Mobile,4,5145.69,1
100160,C071,12899.41,Credit,Mobile,Desktop,4,54775.74,1
100161,C187,46811.2,Credit,Online,Desktop,1,89055.05,0
100162,C086,23845.83,Debit,Mobile,Desktop,2,26345.82,0
100163,C028,68177.68,Credit,Online,Mobile,3,47277.63,0
100164,C066,11507.14,Debit,ATM,Desktop,3,32500.46,0
100165,C170,77508.92,Debit,Online,Desktop,3,95219.18,0
100166,C045,46281.91,Debit,Mobile,Mobile,4,82382.19,1
100167,C062,6067.0,Debit,ATM,Mobile,1,70929.25,0
100168,C185,26764.85,Debit,Mobile,Mobile,4,58803.94,1
100169,C134,99578.18,Credit,ATM,Mobile,2,82077.12,0
100170,C028,128171.68,Debit,Online,Desktop,1,39287.48,0
100171,C028,31339.9,Credit,Mobile,Mobile,3,44810.43,0
100172,C108,32776.87,Debit,ATM,Desktop,4,73027.17,1
100173,C044,125329.84,Debit,ATM,Mobile,4,35839.7,1
100174,C084,44223.64,Debit,Online,Mobile,2,6483.7,0
100175,C030,1669.91,Debit,Mobile,Mobile,2,7526.03,0
100176,C190,121948.58,Debit,ATM,Mobile,4,11624.74,1
100177,C075,14266.01,Credit,Mobile,Desktop,2,86981.16,0
100178,C128,43093.91,Debit,ATM,Desktop,3,47275.42,0
100179,C092,9046.92,Debit,Mobile,Mobile,2,71316.95,0
100180,C190,1723.32,Debit,Mobile,Mobile,2,39351.64,0
100181,C129,18660.05,Debit,Online,Mobile,4,25945.22,1
100182,C121,75819.17,Debit,Online,Desktop,4,34784.5,1
100183,C027,16257.93,Debit,Online,Mobile,1,79438.82,0
100184,C190,12429.3,Debit,Online,Mobile,1,62559.09,0
100185,C121,11956.08,Debit,ATM,Desktop,4,93770.21,1
100186,C116,36198.23,Debit,ATM,Desktop,2,68002.51,0
100187,C003,185538.5,Debit,ATM,Mobile,2,57061.15,1
100188,C103,30715.78,Debit,Online,Mobile,1,61058.58,0
100189,C198,40743.75,Debit,ATM,Desktop,1,94242.91,0
100190,C155,98531.87,Credit,Online,Desktop,1,78841.27,0
100191,C137,38293.39,Debit,Mobile,Mobile,3,2501.72,0
100192,C062,10195.42,Debit,ATM,Desktop,3,53460.56,0
100193,C165,17804.89,Debit,Online,Desktop,1,68865.01,0
100194,C051,18548.61,Credit,Online,Mobile,2,74894.98,0
100195,C172,25318.29,Debit,Mobile,Mobile,1,21392.9,0
100196,C152,27825.06,Debit,Mobile,Mobile,3,86731.02,0
100197,C059,80417.43,Credit,Mobile,Desktop,2,95588.73,0
100198,C118,21492.01,Debit,Mobile,Mobile,3,23747.86,0
100199,C160,31577.38,Debit,ATM,Desktop,2,88273.28,0
100200,C096,49038.26,Debit,Mobile,Desktop,3,9788.18,0
100201,C180,23718.73,Debit,Online,Mobile,2,5665.11,0
100202,C113,90566.94,Credit,ATM,Desktop,2,13009.46,0
100203,C062,44270.33,Credit,Mobile,Desktop,2,5868.33,0
100204,C186,17410.17,Debit,ATM,Mobile,2,84516.72,0
100205,C052,62598.52,Debit,Online,Mobile,4,5999.11,1
100206,C012,37501.51,Debit,ATM,Mobile,3,27239.25,0
100207,C039,38227.42,Debit,Online,Desktop,3,10465.26,0
100208,C130,32801.04,Credit,Online,Desktop,4,29612.66,1
100209,C131,34359.44,Debit,Online,Mobile,2,9146.89,0
100210,C113,72484.35,Debit,Online,Desktop,2,66833.52,0
100211,C101,5433.94,Credit,ATM,Mobile,3,13419.35,0
100212,C113,20350.53,Debit,Mobile,Mobile,4,85199.41,1
100213,C184,3925.29,Debit,ATM,Mobile,2,81737.39,0
100214,C081,69968.21,Debit,Online,Mobile,2,1464.8,0
100215,C187,15893.45,Credit,Mobile,Mobile,2,89583.06,0
100216,C113,113860.69,Debit,Mobile,Mobile,1,2991.54,0
100217,C002,37388.45,Debit,Online,Mobile,4,24040.61,1
100218,C130,80659.69,Debit,Online,Desktop,2,3335.67,0
100219,C054,192998.66,Debit,Mobile,Mobile,1,33650.76,1
